,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FY,MatchWinner,halftimeWinner,FT_Point,FT_Winner,FT_Draw,FT_Loss,HT_Winner,HT_Draw,HT_Loss,Target_Home%,Target_Away%,Manager,Home_Win,Away_Win,Home_Loss,Away_Loss,Home_Draw,Away_Draw,Diff_Score
2512,2016-02-02,Leicester,Liverpool,2,0,H,0,0,D,A Marriner,13,14,6,2,6,7,3,12,0,1,0,0,FY1516,Leicester,draw,0,0,0,1,0,1,1,46.15,14.29,Jürgen Klopp,0,0,0,1,0,0,-2
2521,2016-06-02,Liverpool,Sunderland,2,2,D,0,0,D,R Madley,16,7,5,2,4,12,7,2,1,1,0,0,FY1516,draw,draw,1,0,1,0,0,1,1,31.25,28.57,Jürgen Klopp,0,0,0,0,1,0,0
2538,2016-02-14,Aston Villa,Liverpool,0,6,A,0,2,A,N Swarbrick,6,11,1,9,10,9,0,6,3,1,0,0,FY1516,Liverpool,Liverpool,3,1,0,0,1,0,0,16.67,81.82,Jürgen Klopp,0,1,0,0,0,0,6
2554,2016-02-03,Liverpool,Man City,3,0,H,2,0,H,M Atkinson,11,4,7,2,14,14,3,2,0,1,0,0,FY1516,Liverpool,Liverpool,3,1,0,0,1,0,0,63.64,50.0,Jürgen Klopp,1,0,0,0,0,0,3
2566,2016-06-03,Crystal Palace,Liverpool,1,2,A,0,0,D,A Marriner,14,19,4,5,12,16,6,6,1,2,0,1,FY1516,Liverpool,draw,3,1,0,0,0,1,1,28.57,26.32,Jürgen Klopp,0,1,0,0,0,0,1
2581,2016-03-20,Southampton,Liverpool,3,2,H,0,2,A,R East,16,18,5,9,10,13,3,5,1,3,0,0,FY1516,Southampton,Liverpool,0,0,0,1,1,0,0,31.25,50.0,Jürgen Klopp,0,0,0,1,0,0,-1
2586,2016-02-04,Liverpool,Tottenham,1,1,D,0,0,D,J Moss,15,18,7,5,11,11,12,9,2,0,0,0,FY1516,draw,draw,1,0,1,0,0,1,1,46.67,27.78,Jürgen Klopp,0,0,0,0,1,0,0
2600,2016-10-04,Liverpool,Stoke,4,1,H,2,1,H,M Clattenburg,14,10,6,3,14,14,6,3,0,2,0,0,FY1516,Liverpool,Liverpool,3,1,0,0,1,0,0,42.86,30.0,Jürgen Klopp,1,0,0,0,0,0,3
2611,2016-04-17,Bournemouth,Liverpool,1,2,A,0,2,A,M Jones,18,19,5,6,9,9,5,4,0,0,0,0,FY1516,Liverpool,Liverpool,3,1,0,0,1,0,0,27.78,31.58,Jürgen Klopp,0,1,0,0,0,0,1
2615,2016-04-20,Liverpool,Everton,4,0,H,2,0,H,R Madley,37,3,13,0,8,11,9,1,1,1,0,1,FY1516,Liverpool,Liverpool,3,1,0,0,1,0,0,35.14,0.0,Jürgen Klopp,1,0,0,0,0,0,4
2621,2016-04-23,Liverpool,Newcastle,2,2,D,2,0,H,A Marriner,13,6,4,3,8,17,5,4,1,1,0,0,FY1516,draw,Liverpool,1,0,1,0,1,0,0,30.77,50.0,Jürgen Klopp,0,0,0,0,1,0,0
2634,2016-01-05,Swansea,Liverpool,3,1,H,2,0,H,R East,18,11,9,3,12,13,4,7,2,2,0,1,FY1516,Swansea,Swansea,0,0,0,1,0,0,1,50.0,27.27,Jürgen Klopp,0,0,0,1,0,0,-2
2643,2016-08-05,Liverpool,Watford,2,0,H,1,0,H,L Mason,19,14,5,3,10,15,8,8,1,2,0,0,FY1516,Liverpool,Liverpool,3,1,0,0,1,0,0,26.32,21.43,Jürgen Klopp,1,0,0,0,0,0,2
2647,2016-11-05,Liverpool,Chelsea,1,1,D,0,1,A,M Oliver,28,13,9,7,11,12,7,3,3,1,0,0,FY1516,draw,Chelsea,1,0,1,0,0,0,1,32.14,53.85,Jürgen Klopp,0,0,0,0,1,0,0
2658,2016-05-15,West Brom,Liverpool,1,1,D,1,1,D,R Madley,13,7,1,3,11,14,7,5,3,1,0,0,FY1516,draw,draw,1,0,1,0,0,1,1,7.69,42.86,Jürgen Klopp,0,0,0,0,0,1,0
2667,2016-08-14,Arsenal,Liverpool,3,4,A,1,1,D,M Oliver,9,16,5,7,13,17,5,4,3,3,0,0,FY1617,Liverpool,draw,3,1,0,0,0,1,1,55.56,43.75,Jürgen Klopp,0,1,0,0,0,0,1
2671,2016-08-20,Burnley,Liverpool,2,0,H,2,0,H,L Mason,3,26,2,5,14,5,1,12,0,1,0,0,FY1617,Burnley,Burnley,0,0,0,1,0,0,1,66.67,19.23,Jürgen Klopp,0,0,0,1,0,0,-2
2686,2016-08-27,Tottenham,Liverpool,1,1,D,0,1,A,R Madley,11,13,4,3,11,17,5,5,3,5,0,0,FY1617,draw,Liverpool,1,0,1,0,1,0,0,36.36,23.08,Jürgen Klopp,0,0,0,0,0,1,0
2693,2016-10-09,Liverpool,Leicester,4,1,H,2,1,H,C Pawson,17,12,11,3,4,8,1,7,1,2,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,64.71,25.0,Jürgen Klopp,1,0,0,0,0,0,3
2700,2016-09-16,Chelsea,Liverpool,1,2,A,0,2,A,M Atkinson,12,13,4,5,6,13,6,4,1,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,38.46,Jürgen Klopp,0,1,0,0,0,0,1
2712,2016-09-24,Liverpool,Hull,5,1,H,3,0,H,A Marriner,32,2,12,1,8,8,13,2,1,2,0,1,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,37.5,50.0,Jürgen Klopp,1,0,0,0,0,0,4
2723,2016-01-10,Swansea,Liverpool,1,2,A,1,0,H,M Oliver,8,18,3,6,11,9,3,10,2,2,0,0,FY1617,Liverpool,Swansea,3,1,0,0,0,0,1,37.5,33.33,Jürgen Klopp,0,1,0,0,0,0,1
2739,2016-10-17,Liverpool,Man United,0,0,D,0,0,D,A Taylor,9,7,3,1,14,20,3,1,0,4,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,33.33,14.29,Jürgen Klopp,0,0,0,0,1,0,0
2745,2016-10-22,Liverpool,West Brom,2,1,H,2,0,H,N Swarbrick,21,6,7,1,9,13,3,2,1,3,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,16.67,Jürgen Klopp,1,0,0,0,0,0,1
2750,2016-10-29,Crystal Palace,Liverpool,2,4,A,2,3,A,A Marriner,7,17,6,10,15,5,3,3,1,2,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,85.71,58.82,Jürgen Klopp,0,1,0,0,0,0,2
2768,2016-06-11,Liverpool,Watford,6,1,H,3,0,H,M Oliver,28,11,17,8,14,10,6,3,1,2,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,60.71,72.73,Jürgen Klopp,1,0,0,0,0,0,5
2773,2016-11-19,Southampton,Liverpool,0,0,D,0,0,D,M Clattenburg,3,15,0,2,8,11,1,8,1,1,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,0.0,13.33,Jürgen Klopp,0,0,0,0,0,1,0
